route,stop_name,seq,distance,stop_id
R88,Hadala gam patiyu/Darshan eng. Collage,2,0.8,223
R88,Sheetal Park,18,18.2,578
R88,Ramadevpir Chowk (RMTS),19,18.7,492
R88,Nanavati Chowk (RMTS),20,19.3,397
R88,Raiya Chowk (RMTS),21,19.7,478
R88,Shiv Shakti Colony (RMTS),30,23.1,588
R88,Akashwani Chowk,29,22.8,43
R88,Jivan Jyot School,28,22.4,271
R88,Speedwell Party plot,38,26.0,619
R88,Alap Green City,23,20.8,47
R88,Bapa Sitaram Chowk,22,20.4,90
R88,Ayodhya Chowk,17,17.4,77
R88,Madhapar Chowk,16,16.65,346
R88,Manhar Pura (150 feet ring road),15,15.05,366
R88,AIIMS Hospital Crossing,14,14.85,23
R88,Krishna Bungalows-3 (Sadhuvaswani Kunj Road Crossing),13,14.55,321
R88,Astha sangrila,12,13.8,70
R88,Mukhyamantri Aavsh Quarter,11,12.7,387
R88,Gondal Chowk (RMTS),51,31.55,198
R88,Sadhuvasvani School,27,22.0,527
R88,Janakpuri - Ajanta Park,26,21.6,259
R88,BalajiPark/Satelite Park,25,21.2,88
R88,Guruji Aavas Yojna,24,21.0,218
R88,Vambay Aavash Yojana crossing,35,25.2,662
R88,Bhimrav Nagar/Om Residency,36,25.4,107
R88,Govani Hostel,37,25.6,201
R88,Court yard,40,27.1,136
R88,Arpit eng. Collage,1,0.0,61
R88,Pushkardham,31,23.65,460
R88,Rular Housing,32,24.05,519
R88,Dwarkadhish chowk,39,26.5,158
R88,Vithalbhai radaDiya Chowk,41,27.6,684
R88,shyamal Upavan,42,27.9,720
R88,Vagal Chowk,43,28.45,658
R88,Pavitram Heights,44,28.85,443
R88,Sarvodaya School,45,29.05,548
R88,Udgam School,46,29.65,648
R88,Khodal Chowk,47,29.9,298
R88,Sardar Park,48,30.25,543
R88,Puneetnagar Main Road,49,30.65,455
R89,Trikon baug,30,10.5,639
R89,Indubai Mahasatiji Chowk - Kotecha Chowk,22,7.4,239
R89,Swaminarayan Temple/Mahila College,23,7.8,629
R89,LIC office,24,8.3,332
R89,Astron Chowk/Mahavir Chowk,25,8.5,71
R89,Hemugadhavi Hall,26,8.9,228
R89,Narsinh Mehta Garden,27,9.3,400
R89,Ramkrushna Ashram,28,9.6,498
R89,Malaviya Chowk,29,10.3,361
R89,Jitariya Hanuman Temple,12,4.0,270
R89,Mavdi Chokdi (RMTS),13,4.2,376
R89,Fuliya Hanuman Temple,14,4.8,162
R89,Mavdi Fire Station,15,5.1,377
R89,Bapa Sitaram Chowk,11,3.6,90
R89,Suryamukhi Hanuman Chowk,18,6.0,624
R89,Dream city,5,1.9,156
R89,krushna Township,6,2.2,705
R89,Mavdi Gam,7,2.6,378
R89,Sanskar City,8,3.0,533
R89,Radha krushn Chowk,9,3.2,470
R89,Sorthiya Parivar wadi,10,3.4,617
R89,Vitthalbhai Raddia Chowk,1,0.0,686
R89,shyamal upvan,2,0.35,721
R89,AKSHAR PARISHAR,3,0.7,25
R89,SHIV TOWNSHIP,4,1.3,524
R89,Mayani Chowk,16,5.4,380
R89,Madhunagar/Rajnagar Society,17,5.7,351
R89,Astron Society,19,6.7,72
R89,Hinglajnagar (bharvad Chowk),20,6.9,229
R89,Saurashtra High School,21,7.1,564
R90,Trikon baug,31,12.0,639
R90,Everest Park,16,5.7,160
R90,A.G. Society,17,6.1,15
R90,Vrundavan Society,18,6.3,692
R90,Crystal Mall,19,6.8,138
R90,Atmiya College/Central School,20,7.1,75
R90,K.K.V hall,21,7.9,283
R90,Wockhart Hospital,22,8.4,695
R90,Indubai Mahasatiji Chowk - Kotecha Chowk,23,8.9,239
R90,Swaminarayan Temple/Mahila College,24,9.4,629
R90,LIC office,25,9.8,332
R90,Astron Chowk/Mahavir Chowk,26,10.0,71
R90,Hemugadhavi Hall,27,10.4,228
R90,Ranchhod Das Ashram,37,14.7,502
R90,Gurudev Park,38,15.0,217
R90,Marutinagar 50ft Road Chowk,39,15.4,373
R90,Greenland Chowk,40,15.8,212
R90,Shivdhara Residency,41,16.5,596
R90,Jai Jawan Jai kisan Society,42,17.35,252
R90,Narsinh Mehta Garden,28,10.8,400
R90,Ramkrushna Ashram,29,11.1,498
R90,Malaviya Chowk,30,11.8,361
R90,Speedwell Party plot,12,4.55,619
R90,Parevadi Chowk,36,13.8,430
R90,Kesari Hindpul,35,13.4,293
R90,I.P.Mission School,34,13.1,232
R90,Dr.Bhimrav ambedkar Chowk,33,12.9,150
R90,Jubeli baug,32,12.5,277
R90,Indraprasth Society /Morby Road crossing,43,17.75,238
R90,Vambay Aavash Yojana crossing,15,5.35,662
R90,Bhimrav Nagar/Om Residency,14,5.15,107
R90,Govani Hostel,13,4.95,201
R90,Court yard,10,3.45,136
R90,Dwarkadhish chowk,11,4.05,158
R90,Vithalbhai radaDiya Chowk,9,2.95,684
R90,shyamal Upavan,8,2.65,720
R90,Vagal Chowk,7,2.1,658
R90,Pavitram Heights,6,1.7,443
R90,Sarvodaya School,5,1.5,548
R90,Udgam School,4,0.9,648
R90,Khodal Chowk,3,0.65,298
R90,Sardar Park,2,0.3,543
R90,Puneetnagar Main Road,1,0.0,455
R90,Jai Babari Chowk,44,17.95,251
R90,Shri Ram Park,45,18.15,606
R90,Satellite Chowk,46,18.9,554
R90,Vrajabhumi Residency,47,19.25,688
R90,Shiva Aastha,48,19.5,590
R90,Giriraj Bungalows,49,19.9,190
R90,Silverpark -B Street No.-4,50,20.2,609
R91,Trikon baug,30,15.9,639
R91,Nanavati Chowk (RMTS),16,9.6,397
R91,Raiya Chowk (RMTS),15,9.0,478
R91,Saurashtra University,7,5.1,565
R91,Saurashtra University Gate,8,5.5,566
R91,B.T.Savani (Kidney) Hospital,9,5.7,80
R91,Shilpan Nova,10,6.2,580
R91,Raiya Village (Shilpan Onex),11,6.7,482
R91,Raiya Village,12,7.2,481
R91,Alap Green City,13,7.9,47
R91,Bapa Sitaram Chowk,14,8.3,90
R91,Ramdevpir Chowk,17,10.3,493
R91,Jubeli baug,29,15.4,277
R91,BajrangWadi circle,21,12.15,85
R91,Railway Colony,22,12.75,477
R91,Special School For Boys,26,14.0,618
R91,Ruda Office,27,14.4,518
R91,Dr.Bhimrav ambedkar chock,28,15.0,151
R91,Veer Savarkar Nagar (avadh road),1,0.0,671
R91,Aditya 79 Housing Co. Opearating Service Society,2,1.0,35
R91,Parishram Housing Co. Opearating Service Society,3,1.35,431
R91,Sanman Party Plot,4,2.45,532
R91,150ft ring road Crossing,5,3.65,11
R91,Kavikalapi Township/ Aarsh Vidhya Mandir,6,4.0,292
R91,Shital Park (BMTS),18,10.8,582
R91,Jay Bhavani Chowk,19,11.45,263
R91,Punitnagar (Near Bajrangwadi),20,11.9,459
R91,Bhomeshwer/ Airport,23,12.95,111
R91,Bhomeshvar (madadev temple),24,13.3,109
R91,Bhomeshvar,25,13.55,108
R92,Trikon baug,21,10.55,639
R92,150 feet Jamnagar road crossing,1,0.0,3
R92,Manhar Pura (150 feet ring road),6,3.65,366
R92,AIIMS Hospital Crossing,5,3.45,23
R92,Krishna Bungalows-3 (Sadhuvaswani Kunj Road Crossing),4,3.15,321
R92,Astha sangrila,3,2.4,70
R92,Mukhyamantri Aavsh Quarter,2,1.3,387
R92,Jubeli baug,20,10.05,277
R92,Vora Society,8,5.35,687
R92,Satyam Shivam Sundaram,9,5.45,561
R92,Gayatridham,10,5.75,179
R92,Wankaner Society,11,6.35,693
R92,BajrangWadi circle,12,6.95,85
R92,BajrangWadi,13,7.05,84
R92,Railway Colony,14,7.2,477
R92,Bhomeshwer/Airport,15,7.5,112
R92,Special School For Boys,16,8.5,618
R92,Ruda Office,17,8.9,518
R92,Madhapar Chowk (BRTS),7,4.95,347
R92,Jamtower Chowk,18,9.0,258
R93,Trikon baug,23,10.0,639
R93,Greenland Chowk,7,3.15,212
R93,Kuwadwa Police Station,2,0.3,329
R93,Chandrana Marketing,3,0.8,124
R93,Shanti Industrial,4,1.0,571
R93,Shaligram/Khodladham Residency,5,1.8,570
R93,Kuvadava Police Chowki,6,2.6,327
R93,Parevadi Chowk,18,8.2,430
R93,Kesari Hindpul,19,8.6,293
R93,I.P.Mission School,20,8.9,232
R93,Dr.Bhimrav ambedkar Chowk,21,9.1,150
R93,Jubeli baug,22,9.5,277
R93,Aryanagar - Pedak road,15,6.4,63
R93,Satellite Chowk - Marutinagar aproach Road,14,6.0,555
R93,Gramudhyog Mandir Pedak,13,5.7,208
R93,Marketing Yard,10,4.45,370
R93,Sat hanuman Temple,1,0.0,552
R93,Maldhari Society,8,3.8,362
R93,RTO office,9,4.05,467
R93,Lakheshwar Society,11,5.15,334
R93,Bhagirath Society,12,5.3,97
R93,baalak hanuman chock,16,6.7,698
R93,Champak Nagar - Pani no Ghodo,17,7.0,121
R94,Field Marshal Chowk,17,12.5,161
R94,New Thorala,18,13.0,405
R94,Thorala Police Station,19,13.6,636
R94,Chunarvad Chowk,20,14.0,131
R94,RMC East Zone Office,21,14.3,463
R94,Manharpura - Bedinaka Fire Station,22,14.6,368
R94,Jalaram Chowk - Santkabir Road Corner,23,14.9,255
R94,Patel Vadi,24,15.2,438
R94,Ranchhod Das Ashram,26,16.4,502
R94,Gurudev Park,27,16.7,217
R94,Marutinagar 50ft Road Chowk,28,17.1,373
R94,Greenland Chowk,29,17.5,212
R94,Ajidam,15,11.5,42
R94,Mansarovar Society,14,11.1,369
R94,Bhimrav Nagar,13,10.8,106
R94,Manda Dungar,12,9.7,365
R94,Fulwadi,11,9.2,164
R94,Aarti Industrial Area,10,8.7,32
R94,Thebachda - Mahika Patiu,9,7.7,635
R94,Deluxe Cinema Chowk,25,15.7,139
R94,Government Polytechnic,16,11.8,205
R94,Tramba Village,1,0.0,638
R94,Bharad Engineering College,2,1.4,103
R94,R.K. University,3,2.0,461
R94,Kalipat,4,2.7,287
R94,150 feet crossing - bhavnagar road,5,3.3,7
R94,Krishna International School,6,4.1,323
R94,Vithalvav Gaushala,7,5.5,685
R94,Sant kesar nur Dargah,8,6.5,534
