stop_name,stop_lat,stop_lon,stop_id,stop_desc,zone_id,location_type,parent_station,platform_code
Ghanteshvar S.R.P. Camp (Main Gate),22.33020699,70.73669345,511,Ghanteshvar S.R.P. Camp (Main Gate),A,1,511,1
Ghanteshwar SRP Camp Road Crossing,22.340695,70.7443,226,Ghanteshwar SRP Camp Road Crossing,A,1,226,1
Giriraj Bungalows,22.337831,70.819434,1552,Giriraj Bungalows,A,1,1552,1
Global Chowk,22.2055474,70.8004089,1075,Global Chowk,A,1,1075,1
Gokul Park,22.253175,70.818085,68,Gokul Park,A,1,68,1
Goldcoin Angel Co.,22.15280847,70.85289448,1002,Goldcoin Angel Co.,A,1,1002,1
Golden Heights,22.3181265,70.7658073,1132,Golden Heights,A,1,1132,1
Gondal Chowk (RMTS),22.24302,70.79999,9,Gondal Chowk (RMTS),A,1,9,1
Gondal Chowkdi,22.24373857,70.79911256,1491,Gondal Chowkdi,A,1,1491,1
Gopalnagar Choro,22.273605,70.80028,307,Gopalnagar Choro,A,1,307,1
Govani Hostel,22.2665,70.76212,285,Govani Hostel,A,1,285,1
Goverdhan Chowk (RMTS),22.25119,70.79112,1509,Goverdhan Chowk (RMTS),A,1,1509,1
Government Engineering College,22.244595,70.743015,517,Government Engineering College,A,1,517,1
Government Polytechnic,22.280915,70.833975,147,Government Polytechnic,A,1,147,1
Govind Baug,22.300175,70.821425,251,Govind Baug,A,1,251,1
Govindnagar,22.266605,70.813885,50,Govindnagar,A,1,50,1
Gramudhyog Mandir Pedak,22.30756251,70.82840358,338,Gramudhyog Mandir Pedak,A,1,338,1
Grand Central Mall,22.277705,70.781115,292,Grand Central Mall,A,1,292,1
Green Leaf Club,22.33780969,70.73527947,1217,Green Leaf Club,A,1,1217,1
Greenland Chowk,22.31153218,70.82922994,56,Greenland Chowk,A,1,56,1
Gujrat Houseing Board - aavas yojna (Rangoli park),22.264664,70.743223,519,Gujrat Houseing Board - aavas yojna (Rangoli park),A,1,519,1
Gundawadi Police Chowki,22.288715,70.807805,65,Gundawadi Police Chowki,A,1,65,1
Gurudev Park,22.28066,70.8021,58,Gurudev Park,A,1,58,1
Guruji Aavas Yojna,22.29811,70.7577,346,Guruji Aavas Yojna,A,1,346,1
Gurukul,22.2765219,70.8002402,306,Gurukul,A,1,306,1
Hadala gam patiyu/Darshan eng. Collage,22.42821,70.781475,483,Hadala gam patiyu/Darshan eng. Collage,A,1,483,1
Hanuman Madhi,22.300415,70.775095,205,Hanuman Madhi,A,1,205,1
Haripar Village,22.2652,70.71588,97,Haripar Village,A,1,97,1
Hemadri,22.26024994,70.77491277,1232,Hemadri,A,1,1232,1
Hemugadhavi Hall,22.2894,70.78969,116,Hemugadhavi Hall,A,1,116,1
Hinglajnagar (bharvad Chowk),22.287005,70.78011,294,Hinglajnagar (bharvad Chowk),A,1,294,1
Hudco Police Chowki,22.26292,70.814625,51,Hudco Police Chowki,A,1,51,1
I.O.C.,22.38838,70.797795,487,I.O.C.,A,1,487,1
I.P.Mission School,22.3044,70.803785,38,I.P.Mission School,A,1,38,1
ITI (Disable),22.2846872,70.7525919,124,ITI (Disable),A,1,124,1
ITI (Khirasara),22.23407988,70.65289219,87,ITI (Khirasara),A,1,87,1
Indira Circle,22.28871075,70.77172605,154,Indira Circle,A,1,154,1
Indraprasth Society,22.32648,70.81979,494,Indraprasth Society,A,1,494,1
Indraprasth Society /Morby Road crossing,22.32571435,70.8203795,1315,Indraprasth Society /Morby Road crossing,A,1,1315,1
Indubai Mahasatiji Chowk - Kotecha Chowk,22.2907,70.7791,112,Indubai Mahasatiji Chowk - Kotecha Chowk,A,1,112,1
Iswar residency,22.20835839,70.81851418,1013,Iswar residency,A,1,1013,1
J D Industrial Area,22.15710919,70.85201154,1003,J D Industrial Area,A,1,1003,1
J K. Industrial Zone,22.14733848,70.85388458,1001,J K. Industrial Zone,A,1,1001,1
JIVRAJPARK-1 STREET NO. 1,22.32086384,70.81806401,1317,JIVRAJPARK-1 STREET NO. 1,A,1,1317,1
Jagnath Temple,22.293285,70.79132,171,Jagnath Temple,A,1,171,1
Jagruti Shramjivi Society,22.31362621,70.7880426,1423,Jagruti Shramjivi Society,A,1,1423,1
Jagrutideep Heights,22.31589003,70.765965,1133,Jagrutideep Heights,A,1,1133,1
Jai Babari Chowk,22.326761,70.822238,1547,Jai Babari Chowk,A,1,1547,1
Jai Jawan Jai kisan Society,22.32271,70.822775,495,Jai Jawan Jai kisan Society,A,1,495,1
Jalaram Chowk (Gayatrinagar Road),22.2771,70.804485,358,Jalaram Chowk (Gayatrinagar Road),A,1,358,1
Jalaram Chowk - Santkabir Road Corner,22.300015,70.814495,253,Jalaram Chowk - Santkabir Road Corner,A,1,253,1
Jamtower Chowk,22.30769,70.797495,445,Jamtower Chowk,A,1,445,1
Janakpuri - Ajanta Park,22.2921,70.759915,344,Janakpuri - Ajanta Park,A,1,344,1
Jangalesvara Crossing / Bapunagar,22.282785,70.81689,152,Jangalesvara Crossing / Bapunagar,A,1,152,1
Jasani School,22.270805,70.800425,308,Jasani School,A,1,308,1
Jay Bhavani Chowk,22.31567856,70.77363729,1564,Jay Bhavani Chowk,A,1,1564,1
Jaybharat Primary School,22.24391062,70.7930602,1085,Jaybharat Primary School,A,1,1085,1
Jilla Garden Chowk,22.288785,70.81381,330,Jilla Garden Chowk,A,1,330,1
Jilla Panchayat Chowk,22.2983,70.7914,128,Jilla Panchayat Chowk,A,1,128,1
Jitariya Hanuman Temple,22.2635569,70.78345331,264,Jitariya Hanuman Temple,A,1,264,1
Jivan Jyot School,22.287795,70.76229,157,Jivan Jyot School,A,1,157,1
Jivraj Hospital,22.272285,70.804375,359,Jivraj Hospital,A,1,359,1
Jubeli baug,22.300105,70.801285,40,Jubeli baug,A,1,40,1
Junction Railway police station,22.31258,70.802155,296,Junction Railway police station,A,1,296,1
Junction police choki,22.31413667,70.80181,35,Junction police choki,A,1,35,1
K. K.dholkiya school,22.31977131,70.82046865,1333,K. K.dholkiya school,A,1,1333,1
K.K.V hall,22.28572,70.771115,110,K.K.V hall,A,1,110,1
Kadvibai School,22.2835,70.80048,1035,Kadvibai School,A,1,1035,1
Kalashdhara Park,22.30475688,70.75811109,1187,Kalashdhara Park,A,1,1187,1
Kalipat,22.24299,70.89022,135,Kalipat,A,1,135,1
Kankot - Kalawad Road,22.2693,70.735295,100,Kankot - Kalawad Road,A,1,100,1
Kanta Stri Vikas Gruh,22.2843,70.801085,41,Kanta Stri Vikas Gruh,A,1,41,1
Kavikalapi Township/ Aarsh Vidhya Mandir,22.28536661,70.73869614,1559,Kavikalapi Township/ Aarsh Vidhya Mandir,A,1,1559,1
Kesari Hindpul,22.30518052,70.80657549,61,Kesari Hindpul,A,1,61,1
Khirasara Gam Chowkdi,22.23758,70.6544,88,Khirasara Gam Chowkdi,A,1,88,1
Khodal Chowk,22.245794,70.786408,1531,Khodal Chowk,A,1,1531,1
Khodiyar Chowk,22.21812267,70.79356195,1078,Khodiyar Chowk,A,1,1078,1
Khodiyar chowk,22.2324462,70.8050786,1304,Khodiyar chowk,A,1,1304,1
Khodiyar chowk Lothada,22.1702191,70.8480638,1005,Khodiyar chowk Lothada,A,1,1005,1
Khokhadadad gam,22.19504427,70.8267471,1010,Khokhadadad gam,A,1,1010,1
Khokhaldad,22.20502,70.80061,6,Khokhaldad,A,1,6,1
Kishanpara Chowk,22.298005,70.7876,127,Kishanpara Chowk,A,1,127,1
Korat Chowk,22.19471378,70.79978584,4,Korat Chowk,A,1,4,1
Kotharia Gam Talukashala,22.237882,70.81729,72,Kotharia Gam Talukashala,A,1,72,1
Kotharia Village/Jai Bhawani Chowk,22.23571617,70.81733443,73,Kotharia Village/Jai Bhawani Chowk,A,1,73,1
Kothariya Chowk,22.25829,70.81599,52,Kothariya Chowk,A,1,52,1
Kothariya Colony,22.2811,70.807375,44,Kothariya Colony,A,1,44,1
Kothariya Gam,22.23411,70.81762,74,Kothariya Gam,A,1,74,1
Kothariya Housing,22.24378,70.81772,70,Kothariya Housing,A,1,70,1
Kothariya Solavant fatak,22.224871,70.803182,1301,Kothariya Solavant fatak,A,1,1301,1
Kothariya Solvant,22.2247,70.802425,1353,Kothariya Solvant,A,1,1353,1
Kothariya Solvant fatak,22.22479992,70.80319554,1174,Kothariya Solvant fatak,A,1,1174,1
Kothi compound,22.30770275,70.80329663,37,Kothi compound,A,1,37,1
Krishna Bungalows-3 (Sadhuvaswani Kunj Road Crossing),22.34306986,70.78100887,1274,Krishna Bungalows-3 (Sadhuvaswani Kunj Road Crossing),A,1,1274,1
Krishna International School,22.249175,70.878915,137,Krishna International School,A,1,137,1
Krishna Waterpark,22.3468502,70.9255818,1284,Krishna Waterpark,A,1,1284,1
Krishna motar,22.2274191,70.8028289,1302,Krishna motar,A,1,1302,1
Krishna park,22.31803488,70.81720328,1318,Krishna park,A,1,1318,1
Kuvadava Police Chowki,22.31411,70.83468,55,Kuvadava Police Chowki,A,1,55,1
Kuwadwa GIDC,22.3690274,70.9569989,1281,Kuwadwa GIDC,A,1,1281,1
Kuwadwa Police Station,22.32454982,70.85134208,1291,Kuwadwa Police Station,A,1,1291,1
Kuwadwagam,22.3620217,70.9437413,1282,Kuwadwagam,A,1,1282,1
LIC office,22.29366664,70.78622298,114,LIC office,A,1,114,1
Labhubhai eng. Collage,22.24704645,70.73912116,518,Labhubhai eng. Collage,A,1,518,1
Lakheshwar Society - R.T.O. Office,22.303915,70.830415,337,Lakheshwar Society - R.T.O. Office,A,1,337,1
Laxman Township,22.26279,70.766485,416,Laxman Township,A,1,416,1
Light House (Raiya) BRTS,22.30205179,70.73528618,1378,Light House (Raiya) BRTS,A,1,1378,1
Light House Crossing,22.30744693,70.72773461,1211,Light House Crossing,A,1,1211,1
Limda Chowk,22.29641,70.79878,131,Limda Chowk,A,1,131,1
Lothada gam,22.17385173,70.84645126,1006,Lothada gam,A,1,1006,1
Madhapar Chowk,22.32866351,70.76931078,1271,Madhapar Chowk,A,1,1271,1
Madhapar Chowk (BRTS),22.32878,70.76908909,1570,Madhapar Chowk (BRTS),A,1,1570,1
Madhapar Chowk (RMTS),22.33161,70.77132,1393,Madhapar Chowk (RMTS),A,1,1393,1
Madhapar Gaam,22.33212686,70.76897952,220,Madhapar Gaam,A,1,220,1
Madhapar Gaam Gate,22.34461583,70.76694065,410,Madhapar Gaam Gate,A,1,410,1
Madhunagar/Rajnagar Society,22.27542,70.78669,259,Madhunagar/Rajnagar Society,A,1,259,1
Mahaavir ind. Area,22.18836765,70.83399602,1008,Mahaavir ind. Area,A,1,1008,1
Mahika village,22.27264825,70.88041117,1158,Mahika village,A,1,1158,1
Mahila ITI,22.28593919,70.7525475,1259,Mahila ITI,A,1,1259,1
Makkam Chowk,22.27958,70.799225,16,Makkam Chowk,A,1,16,1
Malaviya Chowk,22.29229,70.799025,119,Malaviya Chowk,A,1,119,1
Maldhari Society,22.30647161,70.83081264,1575,Maldhari Society,A,1,1575,1
Maldhari railway fatak,22.23928892,70.80041143,1309,Maldhari railway fatak,A,1,1309,1
Malyasan,22.331441,70.8795692,1287,Malyasan,A,1,1287,1
Manda Dungar,22.278695,70.84968,1151,Manda Dungar,A,1,1151,1
Manhar Pura (150 feet ring road),22.3385141,70.7764052,1272,Manhar Pura (150 feet ring road),A,1,1272,1
Manharpura - Bedinaka Fire Station,22.297495,70.815515,500,Manharpura - Bedinaka Fire Station,A,1,500,1
Mansarovar Society,22.27702,70.838605,145,Mansarovar Society,A,1,145,1
Marketing Yard,22.300515,70.832405,248,Marketing Yard,A,1,248,1
Maruti travels,22.28134534,70.84073219,1403,Maruti travels,A,1,1403,1
Marutinagar (Sarvoday Housing Society),22.1666,70.794215,1,Marutinagar (Sarvoday Housing Society),A,1,1,1
Marutinagar 50ft Road Chowk,22.31092,70.82649,57,Marutinagar 50ft Road Chowk,A,1,57,1
Marwadi College,22.367815,70.79962,488,Marwadi College,A,1,488,1
Masoom School Mota Mauva,22.26759248,70.75308891,1251,Masoom School Mota Mauva,A,1,1251,1
Mavdi Chokdi (RMTS),22.26482,70.784605,263,Mavdi Chokdi (RMTS),A,1,263,1
Mavdi Fire Station,22.270815,70.790205,261,Mavdi Fire Station,A,1,261,1
Mavdi Gam,22.256395,70.779315,422,Mavdi Gam,A,1,422,1
Mavdi Police Head quarter,22.2635648,70.7681934,1229,Mavdi Police Head quarter,A,1,1229,1
Mayani Chowk,22.274105,70.7874,260,Mayani Chowk,A,1,260,1
Metoda crossing,22.229495,70.65798,89,Metoda crossing,A,1,89,1
Mota Mauva,22.27152,70.753775,104,Mota Mauva,A,1,104,1
Mukhyamantri Aavsh Quarter,22.34024458,70.7984902,1276,Mukhyamantri Aavsh Quarter,A,1,1276,1
Naathdwara Park,22.31176926,70.82019401,1321,Naathdwara Park,A,1,1321,1
Nadoda Nagar,22.259895,70.817605,374,Nadoda Nagar,A,1,374,1
Nagarik Bank,22.28057999,70.80020608,1488,Nagarik Bank,A,1,1488,1
Nagrik bank,22.28027,70.8002,17,Nagrik bank,A,1,17,1
Nana Mava Chowk (RMTS),22.2757,70.7776,291,Nana Mava Chowk (RMTS),A,1,291,1
Nanavati Chowk (RMTS),22.3053,70.76811,208,Nanavati Chowk (RMTS),A,1,208,1
Naranka Gram,22.11953768,70.85729443,1000,Naranka Gram,A,1,1000,1
Narsinh Mehta Garden,22.28939,70.793085,117,Narsinh Mehta Garden,A,1,117,1
New Subhasnagar,22.26528,70.81151,366,New Subhasnagar,A,1,366,1
New Thorala,22.2879895,70.8262205,503,New Thorala,A,1,503,1
Nilkanth Cinema,22.275915,70.812185,47,Nilkanth Cinema,A,1,47,1
Nirmala Convent School,22.29718749,70.77630984,534,Nirmala Convent School,A,1,534,1
Nyara Gam Chokdi,22.34842,70.723515,391,Nyara Gam Chokdi,A,1,391,1
Oscar Sky Park,22.32102681,70.76221862,1130,Oscar Sky Park,A,1,1130,1
P & T Colony/Gitanagar,22.25331,70.800175,11,P & T Colony/Gitanagar,A,1,11,1
P.D.M. College,22.26822,70.79948,15,P.D.M. College,A,1,15,1
P.D.M. Fatak,22.2697124,70.800611,1244,P.D.M. Fatak,A,1,1244,1
PGVCL Region office,22.28127829,70.78631137,1464,PGVCL Region office,A,1,1464,1
Pam. Universe Crossing,22.29837887,70.74909248,349,Pam. Universe Crossing,A,1,349,1
Panchayat Chowk,22.2881,70.7659,156,Panchayat Chowk,A,1,156,1
Panchayat Nagar Chowk,22.2879,70.76531,197,Panchayat Nagar Chowk,A,1,197,1
Panchsheel College,22.27234732,70.87607094,1157,Panchsheel College,A,1,1157,1
Panchsheel Society,22.26249,70.8,13,Panchsheel Society,A,1,13,1
Panchshil Society Community Hall,22.263039,70.797073,1324,Panchshil Society Community Hall,A,1,1324,1
Pandit dindayaal Civil Hospital,22.303124,70.801076,1475,Pandit dindayaal Civil Hospital,A,1,1475,1
Parapipaliya Gaam,22.34682032,70.73916893,393,Parapipaliya Gaam,A,1,393,1
Parapipaliya patiya,22.34330592,70.73667245,1219,Parapipaliya patiya,A,1,1219,1
Pardi Village,22.18239396,70.79876998,3,Pardi Village,A,1,3,1
Parevadi Chowk,22.30668,70.810625,60,Parevadi Chowk,A,1,60,1
Parishram Housing Co. Opearating Service Society,22.27886121,70.7316337,166,Parishram Housing Co. Opearating Service Society,A,1,166,1
Parsana Chowk,22.2587986,70.75511465,413,Parsana Chowk,A,1,413,1
Patel Chowk,22.2653901,70.7808029,365,Patel Chowk,A,1,365,1
Patel Vadi,22.30181,70.81318,254,Patel Vadi,A,1,254,1
Pavitram Heights,22.245919,70.775871,1528,Pavitram Heights,A,1,1528,1
Phulvadi Park,22.2744,70.7725,326,Phulvadi Park,A,1,326,1
Pipaliya hall/Bhakti Hall,22.269085,70.805405,361,Pipaliya hall/Bhakti Hall,A,1,361,1
Popatpara,22.32215667,70.79802,32,Popatpara,A,1,32,1
Popatpara Central Jail,22.31751667,70.80081333,34,Popatpara Central Jail,A,1,34,1
Popatpara Post Office,22.3199203,70.79909205,33,Popatpara Post Office,A,1,33,1
Pradhyuman Park,22.299105,70.839185,247,Pradhyuman Park,A,1,247,1
Prajapati Chowk,22.3231695,70.75994287,1129,Prajapati Chowk,A,1,1129,1
Prasheel Park,22.282983,70.74985,382,Prasheel Park,A,1,382,1
Puneetnagar Main Road,22.245808,70.79381,1533,Puneetnagar Main Road,A,1,1533,1
Punit Nagar,22.246004,70.793765,1086,Punit Nagar,A,1,1086,1
Punit Nagar BRTS bus stop,22.24792415,70.79496339,184,Punit Nagar BRTS bus stop,A,1,184,1
Punitnagar (Near Bajrangwadi),22.31609332,70.77935711,542,Punitnagar (Near Bajrangwadi),A,1,542,1
Pushkardham,22.284185,70.756315,125,Pushkardham,A,1,125,1
R.K. University,22.239685,70.89641,134,R.K. University,A,1,134,1
RMC East Zone Office,22.296485,70.81751,501,RMC East Zone Office,A,1,501,1
RMC Fire Brigade,22.29238626,70.77801883,535,RMC Fire Brigade,A,1,535,1
RTO Khokhadadad,22.19032655,70.83224492,1009,RTO Khokhadadad,A,1,1009,1
RTO office,22.3041683,70.83158595,1576,RTO office,A,1,1576,1
Radha Mira Industrial Estate,22.26372,70.82228,375,Radha Mira Industrial Estate,A,1,375,1
Radha krushn Chowk,22.2558,70.783025,267,Radha krushn Chowk,A,1,267,1
Radhe Park/Gangotri Park,22.31816877,70.77896715,540,Radhe Park/Gangotri Park,A,1,540,1
Radheshyam Gaushala,22.2330138,70.7894101,1081,Radheshyam Gaushala,A,1,1081,1
Radhika Residency,22.2736972,70.8673907,1155,Radhika Residency,A,1,1155,1
Railnagar,22.326,70.79171,29,Railnagar,A,1,29,1
