stop_name,stop_lat,stop_lon,stop_id,stop_desc,zone_id,location_type,parent_station,platform_code
Shantinagar,22.31359985,70.7580428,321,Shantinagar,A,1,321,1
Shapar Veraval,22.157895,70.7915,0,Shapar Veraval,A,1,0,1
Shardabaug,22.3025965,70.795057,201,Shardabaug,A,1,201,1
Sheetal Park,22.31491,70.77698,1134,Sheetal Park,A,1,1134,1
Sheth High School,22.28079,70.805305,43,Sheth High School,A,1,43,1
Shilpan Nova,22.29114583,70.75073879,1261,Shilpan Nova,A,1,1261,1
Shital Park,22.3158406,70.76769086,1269,Shital Park,A,1,1269,1
Shital Park (BMTS),22.31629,70.76768,1563,Shital Park (BMTS),A,1,1563,1
Shitalamajaji Temple,22.1736,70.796215,2,Shitalamajaji Temple,A,1,2,1
Shiv Shakti Colony (RMTS),22.28769,70.75631,159,Shiv Shakti Colony (RMTS),A,1,159,1
Shiva Aastha,22.33592,70.817507,1551,Shiva Aastha,A,1,1551,1
Shivam fual (Bharat Petrol pump),22.2347636,70.8080562,1306,Shivam fual (Bharat Petrol pump),A,1,1306,1
Shivam park / khodal chowk,22.26171448,70.77526874,1233,Shivam park / khodal chowk,A,1,1233,1
Shivdhara Residency,22.316315,70.82691,496,Shivdhara Residency,A,1,496,1
Shree Dharmeshwar Marg Chowk,22.30461749,70.7662929,237,Shree Dharmeshwar Marg Chowk,A,1,237,1
Shree Ram Township,22.262952,70.76003,415,Shree Ram Township,A,1,415,1
Shree Rokadiya Party Lawns,22.21538675,70.81804824,1014,Shree Rokadiya Party Lawns,A,1,1014,1
Shree Yadunandan Chowk,22.3174831,70.81814415,1319,Shree Yadunandan Chowk,A,1,1319,1
Shree city (Munjka gam),22.28988,70.735205,385,Shree city (Munjka gam),A,1,385,1
Shreenathji Industries Plot No.155,22.3654106,70.9635065,1279,Shreenathji Industries Plot No.155,A,1,1279,1
Shri Ram Park,22.328274,70.82145,1548,Shri Ram Park,A,1,1548,1
Shyam Hall,22.26181,70.807915,364,Shyam Hall,A,1,364,1
Silver velly/ ratnam Skay,22.34125428,70.73608742,1218,Silver velly/ ratnam Skay,A,1,1218,1
Silverpark -B Street No.-4,22.338139,70.822277,1553,Silverpark -B Street No.-4,A,1,1553,1
Somanath Society main road,22.2767254,70.8401877,1401,Somanath Society main road,A,1,1401,1
Somnath Real Home Society,22.31482173,70.81920419,1320,Somnath Real Home Society,A,1,1320,1
Somnath main Road / gulabnagar nalu,22.2321874,70.8021342,1303,Somnath main Road / gulabnagar nalu,A,1,1303,1
Sorathiya park,22.2622497,70.77870505,1234,Sorathiya park,A,1,1234,1
Sorathiyawadi Circle,22.281785,70.81079,45,Sorathiyawadi Circle,A,1,45,1
Sorthiya Parivar wadi,22.25818,70.7822,266,Sorthiya Parivar wadi,A,1,266,1
Special School For Boys,22.311705,70.793885,373,Special School For Boys,A,1,373,1
Speedwell Party plot,22.26534278,70.76230777,284,Speedwell Party plot,A,1,284,1
Steam Power Solar Co.,22.16345,70.850846,1004,Steam Power Solar Co.,A,1,1004,1
Sunsine Group Of Institute,22.2655781,70.74593643,521,Sunsine Group Of Institute,A,1,521,1
Surbhi Possible 2,22.2255055,70.7915408,1080,Surbhi Possible 2,A,1,1080,1
Suryamukhi Hanuman Chowk,22.28001,70.78422,258,Suryamukhi Hanuman Chowk,A,1,258,1
Suta Hanuman Temple,22.27889,70.81131,46,Suta Hanuman Temple,A,1,46,1
Swaminarayan Chowk,22.268195,70.793495,310,Swaminarayan Chowk,A,1,310,1
Swaminarayan Temple/Mahila College,22.292715,70.782605,113,Swaminarayan Temple/Mahila College,A,1,113,1
Swaminarayan vidhyalay,22.28003569,70.85587764,1409,Swaminarayan vidhyalay,A,1,1409,1
Swati Park,22.24398,70.807795,86,Swati Park,A,1,86,1
Swati Soc.,22.279305,70.76978,329,Swati Soc.,A,1,329,1
Thebachda - Mahika Patiu,22.27452,70.860685,140,Thebachda - Mahika Patiu,A,1,140,1
Thorala Police Station,22.291,70.823505,502,Thorala Police Station,A,1,502,1
Tramba Village,22.228105,70.910805,132,Tramba Village,A,1,132,1
Trikon baug,22.294985,70.801695,1038,Trikon baug,A,1,1038,1
Trimandir,22.34123725,70.90662184,1286,Trimandir,A,1,1286,1
Trishul Chawk (Mavdi),22.25263,70.77053,1499,Trishul Chawk (Mavdi),A,1,1499,1
Trishul Chowk,22.2698,70.80457,1179,Trishul Chowk,A,1,1179,1
Trishul Chowk (Pipaliya Hall),22.2698,70.8046,360,Trishul Chowk (Pipaliya Hall),A,1,360,1
Tulshi Avenue,22.20761043,70.79822451,1076,Tulshi Avenue,A,1,1076,1
Udgam School,22.245918,70.783951,1530,Udgam School,A,1,1530,1
Uma P.T.C. College,22.26788,70.726095,98,Uma P.T.C. College,A,1,98,1
Umiya Chowk (BRTS),22.26066037,70.78748987,1507,Umiya Chowk (BRTS),A,1,1507,1
V.V.P. Engineering College,22.264205,70.71488,96,V.V.P. Engineering College,A,1,96,1
Vadalia Foods,22.17639859,70.84580496,1007,Vadalia Foods,A,1,1007,1
Vadvajadi Village,22.254905,70.692215,93,Vadvajadi Village,A,1,93,1
Vagal Chowk,22.2460845,70.7718438,1527,Vagal Chowk,A,1,1527,1
Vagudad Village,22.25811,70.69989,94,Vagudad Village,A,1,94,1
Vambay Aavash Yojana crossing,22.271688,70.759904,1493,Vambay Aavash Yojana crossing,A,1,1493,1
Vankaner Chowkdi,22.3602905,70.9383233,1283,Vankaner Chowkdi,A,1,1283,1
Vasant Vatika,22.25984144,70.77178535,1231,Vasant Vatika,A,1,1231,1
Veer Hanumant Township,22.259914,70.75658071,414,Veer Hanumant Township,A,1,414,1
Veer Savarkar Nagar (avadh road),22.27399,70.72394,1554,Veer Savarkar Nagar (avadh road),A,1,1554,1
Velnathpara ( Street No. 17 ),22.33569717,70.81140557,492,Velnathpara ( Street No. 17 ),A,1,492,1
Velnathpara Beginning ( Nr. School No. 71 ),22.334315,70.811875,493,Velnathpara Beginning ( Nr. School No. 71 ),A,1,493,1
Vidhutnagar,22.30298742,70.75842145,1186,Vidhutnagar,A,1,1186,1
Vir narmad township,22.256072,70.796622,1328,Vir narmad township,A,1,1328,1
Virda Vajadi Village,22.26042,70.709795,95,Virda Vajadi Village,A,1,95,1
Vithalbhai radaDiya Chowk,22.2495,70.76412,1525,Vithalbhai radaDiya Chowk,A,1,1525,1
Vithalvav Gaushala,22.257775,70.869375,138,Vithalvav Gaushala,A,1,138,1
Vora Society,22.327,70.7726,218,Vora Society,A,1,218,1
Vrajabhumi Residency,22.333814,70.818232,1550,Vrajabhumi Residency,A,1,1550,1
Vruksh mandir,22.26909,70.732785,99,Vruksh mandir,A,1,99,1
Vrundavan Society,22.27805,70.76202,107,Vrundavan Society,A,1,107,1
Wankaner Society,22.321215,70.78132,397,Wankaner Society,A,1,397,1
Wankaner Society Corner,22.320585,70.78231,215,Wankaner Society Corner,A,1,215,1
Wockhart Hospital,22.288095,70.774895,111,Wockhart Hospital,A,1,111,1
Zawerchand Medhani Tower,22.2879705,70.76812447,155,Zawerchand Medhani Tower,A,1,155,1
baalak hanuman chock,22.30355382,70.81917369,1580,baalak hanuman chock,A,1,1580,1
gokulpark,22.27796147,70.8514392,1407,gokulpark,A,1,1407,1
gulabnagar,22.2355578,70.8050421,1307,gulabnagar,A,1,1307,1
kasturi recidency,22.25858,70.768685,418,kasturi recidency,A,1,418,1
krushna Township,22.25389518,70.77714516,421,krushna Township,A,1,421,1
madhapar gam road crossing,22.34581493,70.76737849,1391,madhapar gam road crossing,A,1,1391,1
matru darshan School,22.252287,70.796922,1330,matru darshan School,A,1,1330,1
new Munjka,22.288705,70.741415,384,new Munjka,A,1,384,1
parshuram indu. street no.3,22.27849515,70.84950973,1406,parshuram indu. street no.3,A,1,1406,1
rampark street no.1,22.28066009,70.84256327,1404,rampark street no.1,A,1,1404,1
sadbhavana complex,22.27713128,70.85526364,1408,sadbhavana complex,A,1,1408,1
samrat industrial Street 1,22.260609,70.796178,1326,samrat industrial Street 1,A,1,1326,1
samrat industrial Street 10,22.258567,70.7962874,1327,samrat industrial Street 10,A,1,1327,1
samrat industries main road crossing,22.262077,70.796147,1325,samrat industries main road crossing,A,1,1325,1
shandar residency,22.2327554,70.8081752,1305,shandar residency,A,1,1305,1
shantidham,22.14440866,70.78911262,1343,shantidham,A,1,1343,1
shyamal Upavan,22.24858383,70.76681022,1526,shyamal Upavan,A,1,1526,1
shyamal upvan,22.24863148,70.76684594,1535,shyamal upvan,A,1,1535,1
somesvasr mahadev munjka gam,22.28738,70.741825,383,somesvasr mahadev munjka gam,A,1,383,1
sundaram city,22.33793789,70.77927348,1430,sundaram city,A,1,1430,1
